DBN,School Name,Average Score SAT Math,Percentage of 4-year Cohort Taking SAT Math,Percentage College Ready SAT Math,Average Score SAT Critical Reading,Percentage of 4-year Cohort Taking SAT Critical Reading,Percentage College Ready SAT Critical Reading,Average Score SAT Writing,Percentage of 4-year Cohort Taking SAT Writing
08X376,Antonia Pantoja Preparatory Academy: A College Boa,435,44.9%,100.0%,415,44.9%,100.0%,423,44.9%
08X405,Herbert H. Lehman High School,426,28.9%,100.0%,419,28.9%,100.0%,407,28.9%
08X432,BRONX BRIDGES HIGH SCHOOL,,1.2%,100.0%,,1.2%,0.0%,,1.2%
08X452,Bronx Guild,365,41.3%,100.0%,393,41.3%,100.0%,357,41.3%
08X519,Felisa Rincon de Gautier Institute for Law and Pub,389,31.3%,100.0%,408,31.3%,100.0%,413,31.3%
08X530,Banana Kelly High School,378,25.7%,100.0%,391,25.7%,100.0%,378,25.7%
08X558,Westchester Square Academy,,,,,,,,
08X559,School for Tourism and Hospitality,,,,,,,,
08X561,Bronx Compass High School,,,,,,,,
08X650,Jane Addams High School for Academic Careers,342,42.0%,100.0%,360,42.0%,100.0%,354,42.0%
09X227,Bronx Collegiate Academy,395,45.5%,100.0%,401,45.5%,100.0%,382,45.5%
09X231,Eagle Academy for Young Men,398,65.7%,100.0%,410,65.7%,100.0%,397,65.7%
09X241,Urban Assembly School for Applied Math and Science,445,87.8%,100.0%,418,87.8%,100.0%,422,87.8%
09X250,Eximius College Preparatory Academy: A College Boa,400,78.2%,100.0%,391,78.2%,100.0%,397,78.2%
09X252,Mott Hall Bronx High School,417,46.2%,100.0%,399,46.2%,100.0%,398,46.2%
09X260,Bronx Center for Science and Mathematics,513,73.9%,100.0%,468,73.9%,100.0%,485,73.9%
09X263,Validus Preparatory Academy: An Expeditionary Lear,382,59.2%,100.0%,375,59.2%,100.0%,384,59.2%
09X276,Leadership Institute,,23.5%,0.0%,,23.5%,100.0%,,23.5%
09X297,Morris Academy for Collaborative Studies,407,44.8%,100.0%,389,44.8%,100.0%,386,44.8%
09X324,Bronx Early College Academy for Teaching & Learnin,424,93.3%,100.0%,413,93.3%,100.0%,409,93.3%
09X327,Comprehensive Model School Project M.S. 327,,,,,,,,
09X329,DreamYard Preparatory School,385,51.1%,100.0%,385,51.1%,100.0%,388,51.1%
09X365,Academy for Language and Technology,371,78.9%,100.0%,334,78.9%,100.0%,348,78.9%
09X403,Bronx International High School,355,59.1%,100.0%,330,59.1%,100.0%,320,59.1%
09X404,School for Excellence,377,38.4%,100.0%,385,38.4%,100.0%,383,38.4%
09X412,Bronx High School of Business,365,33.3%,100.0%,360,33.3%,100.0%,346,33.3%
09X413,Bronx High School for Medical Science,431,83.9%,100.0%,421,83.9%,100.0%,426,83.9%
09X414,Jonathan Levin High School for Media and Communica,347,36.0%,100.0%,344,36.0%,100.0%,330,36.0%
09X505,"Bronx School for Law, Government and Justice",403,63.8%,100.0%,409,63.8%,100.0%,415,63.8%
09X517,Frederick Douglass Academy III Secondary School,387,50.5%,100.0%,386,50.5%,100.0%,386,50.5%
09X525,Bronx Leadership Academy High School,375,49.1%,100.0%,372,49.1%,100.0%,374,49.1%
09X543,High School for Violin and Dance,363,31.3%,100.0%,401,31.3%,100.0%,396,31.3%
09X564,Claremont International HS,,,,,,,,
10X141,Riverdale / Kingsbridge Academy (Middle School / H,496,69.4%,100.0%,485,69.4%,100.0%,476,69.4%
10X213,Bronx Engineering and Technology Academy,394,59.6%,100.0%,406,59.6%,100.0%,391,59.6%
10X225,Theatre Arts Production Company School,402,77.7%,100.0%,421,77.7%,100.0%,410,77.7%
10X237,"The Marie Curie School for Medicine, Nursing, and",423,68.6%,100.0%,420,68.6%,100.0%,425,68.6%
10X243,West Bronx Academy for the Future,404,57.3%,100.0%,383,57.3%,100.0%,378,57.3%
10X264,Bronx Academy for Software Engineering (BASE),,,,,,,,
10X268,Kingsbridge International High School,366,50.7%,100.0%,311,50.7%,100.0%,310,50.7%
10X284,Bronx School of Law and Finance,384,48.3%,100.0%,394,48.3%,100.0%,366,48.3%
10X342,International School for Liberal Arts,390,19.2%,100.0%,387,19.2%,100.0%,379,19.2%
10X351,Bronx Collaborative High School,,,,,,,,
10X353,World View High School,,,,,,,,
10X368,In-Tech Academy (M.S. / High School 368),426,85.9%,100.0%,419,85.9%,100.0%,404,85.9%
10X374,Knowledge and Power Preparatory Academy Internatio,408,66.7%,100.0%,417,66.7%,100.0%,404,66.7%
10X433,High School for Teaching and the Professions,372,46.5%,100.0%,361,46.5%,100.0%,369,46.5%
10X434,Belmont Preparatory High School,413,55.3%,100.0%,408,55.3%,100.0%,402,55.3%
10X437,Fordham High School for the Arts,398,56.2%,100.0%,404,56.2%,100.0%,412,56.2%
10X438,Fordham Leadership Academy for Business and Techno,355,44.3%,100.0%,373,44.3%,100.0%,368,44.3%
10X439,Bronx High School for Law and Community Service,401,64.8%,100.0%,402,64.8%,100.0%,386,64.8%
10X440,DeWitt Clinton High School,445,31.8%,100.0%,436,31.8%,100.0%,433,31.8%
10X442,"Celia Cruz Bronx High School of Music, The",417,75.6%,100.0%,434,75.6%,100.0%,425,75.6%
10X445,Bronx High School of Science,714,97.0%,100.0%,660,97.0%,100.0%,667,97.0%
10X477,Marble Hill High School for International Studies,451,92.9%,100.0%,417,92.9%,100.0%,423,92.9%
10X524,Crotona International High School,,0.0%,0.0%,,0.0%,0.0%,,0.0%
10X546,Bronx Theatre High School,382,66.7%,100.0%,384,66.7%,100.0%,390,66.7%
10X549,Discovery High School,432,39.9%,100.0%,396,39.9%,100.0%,395,39.9%
10X565,High School for Energy and Technology,,,,,,,,
10X660,Grace Dodge Career and Technical Education High Sc,343,27.6%,100.0%,366,27.6%,100.0%,346,27.6%
10X696,High School of American Studies at Lehman College,669,91.8%,100.0%,672,91.8%,100.0%,672,91.8%
11X249,Bronx Health Sciences High School,407,87.1%,100.0%,421,87.1%,100.0%,427,87.1%
11X253,Bronx High School for Writing and Communication Ar,380,38.1%,100.0%,437,38.1%,100.0%,425,38.1%
11X265,Bronx Lab School,407,77.4%,100.0%,416,77.4%,100.0%,401,77.4%
11X270,Academy for Scholarship and Entrepreneurship: A Co,392,63.4%,100.0%,408,63.4%,100.0%,400,63.4%
11X275,High School of Computers and Technology,396,65.6%,100.0%,399,65.6%,100.0%,377,65.6%
11X288,Collegiate Institute for Math and Science,488,79.8%,100.0%,461,79.8%,100.0%,458,79.8%
11X290,Bronx Academy of Health Careers,386,59.4%,100.0%,380,59.4%,100.0%,391,59.4%
11X299,Astor Collegiate Academy,422,57.9%,100.0%,417,57.9%,100.0%,409,57.9%
11X418,Bronx High School for the Visual Arts,408,32.5%,100.0%,428,32.5%,100.0%,404,32.5%
11X455,Harry S Truman High School,400,41.5%,100.0%,401,41.5%,100.0%,391,41.5%
11X508,Bronxdale High School,418,72.5%,100.0%,432,72.5%,100.0%,436,72.5%
11X509,High School of Language and Innovation,356,72.7%,100.0%,340,72.7%,100.0%,320,72.7%
11X513,New World High School,407,93.0%,100.0%,363,93.0%,100.0%,358,93.0%
11X514,The Bronxwood Preparatory Academy,392,43.3%,100.0%,408,43.3%,100.0%,392,43.3%
11X542,Pelham Preparatory Academy,420,77.0%,100.0%,433,77.0%,100.0%,425,77.0%
11X544,High School for Contemporary Arts,367,41.0%,100.0%,381,41.0%,100.0%,361,41.0%
11X545,Bronx Aerospace High School,403,50.5%,100.0%,410,50.5%,100.0%,393,50.5%
12X242,Mott Hall V,430,77.5%,100.0%,422,77.5%,100.0%,414,77.5%
12X248,"Metropolitan High School, The",387,65.9%,100.0%,388,65.9%,100.0%,386,65.9%
12X251,Explorations Academy,377,43.0%,100.0%,372,43.0%,100.0%,365,43.0%
12X267,Bronx Latin,394,81.0%,100.0%,381,81.0%,100.0%,363,81.0%
12X271,East Bronx Academy for the Future,418,41.1%,100.0%,406,41.1%,100.0%,408,41.1%
12X278,Peace and Diversity Academy,366,27.1%,100.0%,362,27.1%,100.0%,365,27.1%
12X372,Urban Assembly School for Wildlife Conservation,393,71.1%,100.0%,397,71.1%,100.0%,379,71.1%
12X388,Pan American International High School at Monroe,317,65.6%,0.0%,315,65.6%,100.0%,292,65.6%
12X478,THE CINEMA SCHOOL,430,88.3%,100.0%,449,88.3%,100.0%,448,88.3%
12X479,Bronx Career and College Preparatory High School,370,40.7%,0.0%,379,40.7%,100.0%,381,40.7%
12X511,Bronx Envision Academy,364,76.5%,100.0%,385,76.5%,100.0%,366,76.5%
12X521,The Metropolitan Soundview High School,444,52.0%,100.0%,428,52.0%,100.0%,422,52.0%
12X550,High School of World Cultures,356,38.2%,100.0%,359,38.2%,100.0%,347,38.2%
12X682,Fannie Lou Hamer Freedom High School,345,75.0%,100.0%,347,75.0%,100.0%,339,75.0%
12X684,Wings Academy,379,49.2%,100.0%,372,49.2%,100.0%,373,49.2%
12X692,Monroe Academy for Visual Arts & Design,361,46.8%,100.0%,354,46.8%,100.0%,351,46.8%
13K265,Dr. Susan S. McKinney Secondary School of the Arts,332,55.1%,0.0%,346,55.1%,100.0%,350,55.1%
13K350,Urban Assembly High School of Music and Art,372,55.1%,100.0%,372,55.1%,100.0%,361,55.1%
13K412,"Brooklyn Community High School of Communication, A",358,51.7%,100.0%,386,51.7%,100.0%,380,51.7%
13K419,"Science Skills Center High School for Science, Tec",399,65.9%,100.0%,397,65.9%,100.0%,386,65.9%
13K430,Brooklyn Technical High School,682,95.5%,100.0%,608,95.5%,100.0%,606,95.5%
13K439,Brooklyn International High School,432,92.7%,100.0%,334,92.7%,100.0%,333,92.7%
13K483,The Urban Assembly School for Law and Justice,446,87.6%,100.0%,443,87.6%,100.0%,430,87.6%
13K499,ACORN Community High School,379,61.3%,100.0%,395,61.3%,100.0%,385,61.3%
13K527,Urban Assembly Institute of Math and Science for Y,397,82.4%,100.0%,415,82.4%,100.0%,407,82.4%
13K595,Bedford Academy High School,505,96.2%,100.0%,464,96.2%,100.0%,456,96.2%
13K605,George Westinghouse Career and Technical Education,394,45.3%,100.0%,422,45.3%,100.0%,400,45.3%
13K670,Benjamin Banneker Academy,479,85.5%,100.0%,484,85.5%,100.0%,472,85.5%
13K674,"City Polytechnic High School of Engineering, Archi",503,18.5%,100.0%,477,18.5%,100.0%,427,18.5%
14K071,Juan Morel Campos Secondary School,366,56.3%,100.0%,356,56.3%,100.0%,353,56.3%
14K322,Foundations Academy,,18.9%,0.0%,,18.9%,100.0%,,18.9%
14K449,"Brooklyn Latin School, The",625,97.5%,100.0%,588,97.5%,100.0%,591,97.5%
14K454,Green School: An Academy for Environmental Careers,384,41.1%,100.0%,398,41.1%,100.0%,399,41.1%
14K474,PROGRESS High School for Professional Careers,380,44.9%,100.0%,377,44.9%,100.0%,384,44.9%
14K477,School for Legal Studies,393,34.8%,100.0%,390,34.8%,100.0%,394,34.8%
14K478,"The High School for Enterprise, Business and Techn",463,54.5%,100.0%,446,54.5%,100.0%,425,54.5%
14K488,Brooklyn Preparatory High School,391,74.5%,100.0%,406,74.5%,100.0%,391,74.5%
14K558,Williamsburg High School for Architecture and Desi,415,60.1%,100.0%,424,60.1%,100.0%,407,60.1%
14K561,Williamsburg Preparatory School,443,87.8%,100.0%,440,87.8%,100.0%,430,87.8%
14K586,Lyons Community School,374,56.3%,100.0%,376,56.3%,100.0%,357,56.3%
14K610,Automotive High School,367,31.6%,0.0%,381,31.6%,100.0%,328,31.6%
14K614,Young Women's Leadership School of Brooklyn,,0.0%,0.0%,,0.0%,0.0%,,0.0%
14K632,Frances Perkins Academy,399,46.3%,100.0%,413,46.3%,100.0%,400,46.3%
14K685,El Puente Academy for Peace and Justice,344,62.5%,0.0%,380,62.5%,100.0%,379,62.5%
15K429,Brooklyn School for Global Studies,393,61.8%,100.0%,381,61.8%,100.0%,402,61.8%
15K448,Brooklyn Secondary School for Collaborative Studie,401,84.1%,100.0%,411,84.1%,100.0%,404,84.1%
15K462,Secondary School for Law,420,74.7%,100.0%,424,74.7%,100.0%,414,74.7%
15K463,Secondary School for Journalism,408,58.8%,100.0%,435,58.8%,100.0%,415,58.8%
15K464,Park Slope Collegiate,405,59.6%,100.0%,377,59.6%,100.0%,395,59.6%
15K497,School for International Studies,417,65.1%,100.0%,406,65.1%,100.0%,394,65.1%
15K519,Cobble Hill School of American Studies,416,55.3%,100.0%,420,55.3%,100.0%,402,55.3%
15K592,Khalil Gibran International Academy,,,,,,,,
15K656,Brooklyn High School of the Arts,439,80.6%,100.0%,441,80.6%,100.0%,436,80.6%
15K667,Sunset Park High School,398,61.6%,100.0%,380,61.6%,100.0%,381,61.6%
15K684,Millennium Brooklyn HS,553,79.6%,100.0%,551,79.6%,100.0%,539,79.6%
16K393,Frederick Douglass Academy IV Secondary School,,42.9%,100.0%,,42.9%,100.0%,,42.9%
16K455,Boys and Girls High School,399,35.6%,100.0%,392,35.6%,100.0%,394,35.6%
16K498,Brooklyn High School for Law and Technology,395,62.7%,100.0%,401,62.7%,100.0%,383,62.7%
16K594,Gotham Professional Arts Academy,377,50.7%,100.0%,396,50.7%,100.0%,386,50.7%
16K688,The Brooklyn Academy of Global Finance,395,45.9%,100.0%,382,45.9%,100.0%,391,45.9%
16K765,Nelson Mandela High School,,,,,,,,
17K122,Pathways in Technology Early College High School (,446,69.4%,100.0%,442,69.4%,100.0%,410,69.4%
17K382,Academy for College Preparation and Career Explora,386,57.3%,100.0%,397,57.3%,100.0%,393,57.3%
17K408,Academy of Hospitality and Tourism,374,62.0%,100.0%,385,62.0%,100.0%,375,62.0%
17K524,International High School at Prospect Heights,344,81.7%,100.0%,302,81.7%,0.0%,300,81.7%
17K528,The High School for Global Citizenship,377,61.9%,100.0%,386,61.9%,100.0%,375,61.9%
17K531,"School for Human Rights, The",398,60.8%,100.0%,411,60.8%,100.0%,400,60.8%
17K533,School for Democracy and  Leadership,386,53.5%,100.0%,385,53.5%,100.0%,390,53.5%
17K537,High School for Youth and Community Development at,360,63.2%,100.0%,382,63.2%,100.0%,359,63.2%
17K539,High School for Service & Learning at Erasmus,377,45.5%,100.0%,382,45.5%,100.0%,356,45.5%
17K543,"Science, Technology and Research Early College Hig",496,91.5%,100.0%,491,91.5%,100.0%,484,91.5%
17K544,International Arts Business School,,55.6%,100.0%,,55.6%,100.0%,,55.6%
17K546,High School for Public Service: Heroes  of Tomorro,468,95.4%,100.0%,454,95.4%,100.0%,464,95.4%
17K547,Brooklyn Academy of Science and the Environment,419,58.5%,100.0%,411,58.5%,100.0%,416,58.5%
17K548,Brooklyn School for Music & Theatre,382,72.2%,100.0%,393,72.2%,100.0%,377,72.2%
17K590,Medgar Evers College Preparatory School,525,89.0%,100.0%,500,89.0%,100.0%,481,89.0%
17K600,Clara Barton High School,408,55.0%,100.0%,424,55.0%,100.0%,407,55.0%
